Ticker,close,date,high,low,month,open,volume,Daily Return
WIPRO,410.2,10/16/2023 5:30,411.9,408.15,2023-10,411,2638826,-0.001946472
WIPRO,411.4,10/17/2023 5:30,413.85,411.05,2023-10,411.7,2989694,-0.000728686
WIPRO,407.45,10/18/2023 5:30,413.65,407,2023-10,409,2440533,-0.003789731
WIPRO,395.3,10/19/2023 5:30,396.75,390.1,2023-10,391.95,12814551,0.008547009
WIPRO,391.85,10/20/2023 5:30,396.05,391,2023-10,395.05,4214668,-0.00810024
WIPRO,383.15,10/23/2023 5:30,393,382.2,2023-10,390.85,4418913,-0.019700652
WIPRO,381.85,10/25/2023 5:30,387.7,381.1,2023-10,384.4,3339147,-0.006633715
WIPRO,378.25,10/26/2023 5:30,380.55,375.05,2023-10,378.8,5497791,-0.001451954
WIPRO,382.35,10/27/2023 5:30,384.35,379.05,2023-10,379.05,3101406,0.008705975
WIPRO,382,10/30/2023 5:30,384.35,380.4,2023-10,384,2344372,-0.005208333
WIPRO,381.8,10/31/2023 5:30,384.1,379.15,2023-10,383.2,3076768,-0.003653445
WIPRO,380.95,11/1/2023 5:30,385.55,380.15,2023-11,383.85,2120976,-0.007555035
WIPRO,383.65,11/2/2023 5:30,385.15,382.1,2023-11,383.8,2371365,-0.000390829
WIPRO,383.55,11/3/2023 5:30,386.7,382.65,2023-11,386,2645764,-0.00634715
WIPRO,384.65,11/6/2023 5:30,386.45,383,2023-11,386,2469968,-0.003497409
WIPRO,383.3,11/7/2023 5:30,387,382.85,2023-11,384.9,2846089,-0.004156924
WIPRO,382.2,11/8/2023 5:30,385.85,381.5,2023-11,384.6,3551026,-0.00624025
WIPRO,380.85,11/9/2023 5:30,384,379.7,2023-11,383,4615563,-0.005613577
WIPRO,379.3,11/10/2023 5:30,381.8,377,2023-11,380.3,5355350,-0.002629503
WIPRO,382.45,11/12/2023 5:30,383.4,381.45,2023-11,383.4,1011662,-0.00247783
WIPRO,381.65,11/13/2023 5:30,382.9,380,2023-11,382.6,1792951,-0.002483011
WIPRO,391.65,11/15/2023 5:30,392.25,384.25,2023-11,385.55,5396259,0.015821554
WIPRO,397.1,11/16/2023 5:30,399.5,389.3,2023-11,391.65,6921788,0.013915486
WIPRO,395.4,11/17/2023 5:30,399,394.5,2023-11,398,3943464,-0.006532663
WIPRO,400.2,11/20/2023 5:30,401.1,393.2,2023-11,393.2,4305248,0.017802645
WIPRO,400.65,11/21/2023 5:30,402.6,400.05,2023-11,402.6,2720124,-0.004843517
WIPRO,400.25,11/22/2023 5:30,402.6,399.1,2023-11,402.5,2659291,-0.005590062
WIPRO,402.5,11/23/2023 5:30,405,400.5,2023-11,400.5,4838680,0.004993758
WIPRO,396,11/24/2023 5:30,403.5,395.55,2023-11,402.5,3125283,-0.016149068
WIPRO,396.85,11/28/2023 5:30,398.75,393.1,2023-11,397,4072657,-0.000377834
WIPRO,406.25,11/29/2023 5:30,408.55,398,2023-11,398,7772043,0.020728643
WIPRO,413.05,11/30/2023 5:30,414.5,404.05,2023-11,406.95,9912979,0.014989556
WIPRO,407.65,12/1/2023 5:30,413.75,406.5,2023-12,413.75,4915213,-0.014743202
WIPRO,407.45,12/4/2023 5:30,413,406.75,2023-12,412.7,5331236,-0.012721105
WIPRO,404.35,12/5/2023 5:30,409,402.1,2023-12,407.4,5582684,-0.0074865
WIPRO,418.75,12/6/2023 5:30,420.4,405.95,2023-12,406.75,11041035,0.029502151
WIPRO,418.25,12/7/2023 5:30,421.5,416.65,2023-12,420,5625276,-0.004166667
WIPRO,422.6,12/8/2023 5:30,424.5,415,2023-12,418.8,7739561,0.009073543
WIPRO,420.6,12/11/2023 5:30,422.2,417.25,2023-12,420,5042121,0.001428571
WIPRO,422.2,12/12/2023 5:30,427.9,420.15,2023-12,420.7,5951682,0.003565486
WIPRO,419.65,12/13/2023 5:30,424.3,415,2023-12,423.55,4848408,-0.009207886
WIPRO,434.4,12/14/2023 5:30,436,423.25,2023-12,423.5,12340688,0.025737898
WIPRO,446.55,12/15/2023 5:30,449.5,433.5,2023-12,436.05,20783617,0.024079807
WIPRO,445.25,12/18/2023 5:30,453.5,442,2023-12,446,10091036,-0.001681614
WIPRO,438.7,12/19/2023 5:30,447.35,435,2023-12,445.6,8032347,-0.01548474
WIPRO,431.95,12/20/2023 5:30,449.5,429.35,2023-12,442,13224971,-0.022737557
WIPRO,434,12/21/2023 5:30,436.5,427.2,2023-12,428.9,5331504,0.011890884
WIPRO,462.65,12/22/2023 5:30,466.3,434,2023-12,435.3,23040407,0.062830232
WIPRO,470.1,12/26/2023 5:30,475.8,448.35,2023-12,454,27314322,0.035462555
WIPRO,470.95,12/27/2023 5:30,475.4,464.1,2023-12,468.5,12631496,0.005229456
WIPRO,469.45,12/28/2023 5:30,477.4,467.65,2023-12,472.55,8419978,-0.006560152
WIPRO,471.3,12/29/2023 5:30,475.35,466.1,2023-12,470.95,7980570,0.000743179
WIPRO,477.15,1/1/2024 5:30,483.5,468.3,2024-01,473,10173639,0.008773784
WIPRO,469.2,1/2/2024 5:30,478,464.3,2024-01,478,7141257,-0.018410042
WIPRO,455.9,1/3/2024 5:30,463.9,455,2024-01,463.9,9767182,-0.017245096
WIPRO,452.4,1/4/2024 5:30,459.85,451.4,2024-01,457,7585168,-0.010065646
WIPRO,456.6,1/5/2024 5:30,463,453.5,2024-01,455.05,8444565,0.003406219
WIPRO,450.35,1/8/2024 5:30,460,449.05,2024-01,457.5,5041443,-0.015628415
WIPRO,450.75,1/9/2024 5:30,462.5,449.95,2024-01,458,7232524,-0.015829694
WIPRO,453.6,1/10/2024 5:30,456,449,2024-01,451.45,4437338,0.004762432
WIPRO,448.2,1/11/2024 5:30,456.9,446.7,2024-01,454.95,4319409,-0.014836795
WIPRO,465.45,1/12/2024 5:30,469,455,2024-01,455,18043367,0.022967033
WIPRO,494.6,1/15/2024 5:30,529,489.15,2024-01,511.95,63922132,-0.033890028
WIPRO,485,1/16/2024 5:30,495,480.5,2024-01,495,12956246,-0.02020202
WIPRO,482.4,1/17/2024 5:30,491.5,472,2024-01,475.15,14334466,0.015258339
WIPRO,482.65,1/18/2024 5:30,489,468.4,2024-01,482.4,13072462,0.000518242
WIPRO,485.05,1/19/2024 5:30,493.35,483.6,2024-01,488,7749310,-0.006045082
WIPRO,477.95,1/20/2024 5:30,488.9,469.05,2024-01,486.4,6045801,-0.017372533
WIPRO,469.9,1/23/2024 5:30,486,467.05,2024-01,478.05,9986168,-0.017048426
WIPRO,478.05,1/24/2024 5:30,479,468.05,2024-01,471,5854375,0.014968153
WIPRO,470,1/25/2024 5:30,479.35,468.55,2024-01,478.05,6426490,-0.016839243
WIPRO,473,1/29/2024 5:30,477,470,2024-01,470,5025650,0.006382979
WIPRO,472.5,1/30/2024 5:30,482.9,471.5,2024-01,474.4,5914007,-0.004005059
WIPRO,478.15,1/31/2024 5:30,479.9,469,2024-01,472.5,5292240,0.011957672
WIPRO,471.35,2/1/2024 5:30,477.7,470.6,2024-02,477.55,3914060,-0.012982934
WIPRO,483.15,2/2/2024 5:30,486.5,475,2024-02,475,8148111,0.017157895
WIPRO,482.35,2/5/2024 5:30,489.5,479.15,2024-02,483,5783302,-0.001345756
WIPRO,499.65,2/6/2024 5:30,501.8,483.1,2024-02,484.7,14512019,0.030843821
WIPRO,495.2,2/7/2024 5:30,501.7,492.55,2024-02,500.95,4551767,-0.011478191
WIPRO,488.85,2/8/2024 5:30,500.1,485.1,2024-02,495.9,5651920,-0.014216576
WIPRO,490.45,2/9/2024 5:30,494.75,482.75,2024-02,490.9,3946894,-0.000916684
WIPRO,501.45,2/12/2024 5:30,510.8,491,2024-02,491,24436750,0.021283096
WIPRO,511.6,2/13/2024 5:30,513,491.7,2024-02,503.1,11186788,0.016895249
WIPRO,514.5,2/14/2024 5:30,517,497.05,2024-02,503.95,11297328,0.020934617
WIPRO,518.5,2/15/2024 5:30,522.85,513.05,2024-02,516.95,7285388,0.002998356
WIPRO,543,2/16/2024 5:30,545,520.95,2024-02,522.5,17471322,0.03923445
WIPRO,535.95,2/19/2024 5:30,545.9,531.35,2024-02,545.9,9301379,-0.018226781
WIPRO,531.95,2/20/2024 5:30,538.15,526.25,2024-02,535.8,5187063,-0.007185517
WIPRO,521.4,2/21/2024 5:30,536.3,519.5,2024-02,535.9,6557787,-0.027057287
WIPRO,531.05,2/22/2024 5:30,533,521.45,2024-02,522.8,7298241,0.015780413
WIPRO,536.15,2/23/2024 5:30,541.25,533.3,2024-02,535,9930497,0.002149533
WIPRO,532.9,2/26/2024 5:30,536.5,526.05,2024-02,536.25,4410318,-0.006247086
WIPRO,531.45,2/27/2024 5:30,537.4,527.55,2024-02,534,5199630,-0.004775281
WIPRO,517.7,2/28/2024 5:30,530.95,515,2024-02,530,6394528,-0.023207547
WIPRO,518.6,2/29/2024 5:30,524.25,513.2,2024-02,517.3,7231382,0.002513049
WIPRO,519.1,3/1/2024 5:30,525.2,517.55,2024-03,522.4,4710315,-0.006316998
WIPRO,522.85,3/2/2024 5:30,524.8,522,2024-03,523.45,340134,-0.001146241
WIPRO,520.5,3/4/2024 5:30,526.4,518.55,2024-03,522.95,2831185,-0.00468496
WIPRO,513.3,3/5/2024 5:30,520.5,510.65,2024-03,517.75,5260774,-0.008594882
WIPRO,513.15,3/6/2024 5:30,514.85,500,2024-03,513.7,5545961,-0.001070664
WIPRO,515.5,3/7/2024 5:30,520.4,510.5,2024-03,513.75,4853991,0.003406326
WIPRO,514.55,3/11/2024 5:30,518.95,512.3,2024-03,517.4,5565756,-0.005508311
WIPRO,510.85,3/12/2024 5:30,522.5,507.75,2024-03,512.75,5826380,-0.00370551
WIPRO,504.4,3/13/2024 5:30,518.7,496.8,2024-03,513.8,6790240,-0.018295056
